epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.8657,2.67923,4.08088,1.27378,0.00057,0.02083,0.00029,3e-05,2.10685,3.80785,1.05614,4e-05,4e-05,4e-05
2,68.4229,2.42593,3.83327,1.156,0.01944,0.72917,0.01902,0.00648,1.76321,3.61086,0.94096,9.7525e-05,9.7525e-05,9.7525e-05
3,88.1432,2.3137,3.3191,1.13012,0.01889,0.70833,0.05765,0.01575,2.01875,3.54117,0.98729,0.00015208,0.00015208,0.00015208
4,102.86,2.28751,2.48307,1.04034,0.02111,0.79167,0.06627,0.01686,1.89838,3.43482,0.9619,0.000203665,0.000203665,0.000203665
5,117.212,2.14479,1.70048,0.99647,0.02667,1,0.09613,0.03447,1.79339,3.18703,0.93473,0.00025228,0.00025228,0.00025228
6,131.594,2.08241,1.59527,1.07916,0.02667,1,0.11203,0.0441,1.76458,3.07341,0.94714,0.000297925,0.000297925,0.000297925
7,146.032,1.99975,1.31838,1.03554,0.025,0.9375,0.07264,0.02712,1.935,3.01401,0.96909,0.0003406,0.0003406,0.0003406
8,160.348,2.0565,1.26455,1.02062,0.02611,0.97917,0.07537,0.02758,1.904,3.02692,0.95748,0.000380305,0.000380305,0.000380305
9,174.651,1.95468,1.30955,1.03696,0.02667,1,0.07804,0.03073,1.67621,2.99563,0.92414,0.00041704,0.00041704,0.00041704
10,188.842,2.02214,1.27627,1.04502,0.02667,1,0.07875,0.03145,1.70019,2.90111,0.93121,0.000450805,0.000450805,0.000450805
11,203.541,2.03151,1.24077,1.0343,0.02556,0.95833,0.67071,0.19183,1.93146,2.64384,0.96728,0.0004816,0.0004816,0.0004816
12,217.531,1.9835,1.24544,1.06728,0.02611,0.97917,0.80288,0.25126,1.92196,2.5701,0.96673,0.000509425,0.000509425,0.000509425
13,231.661,1.92527,1.12476,0.99486,0.025,0.9375,0.79617,0.29734,1.88659,2.51887,0.9654,0.00053428,0.00053428,0.00053428
14,246.409,1.93884,1.10942,0.99716,0.025,0.9375,0.71577,0.24308,1.97513,2.51732,0.98988,0.000556165,0.000556165,0.000556165
15,263.952,1.86882,1.04658,0.99534,0.02611,0.97917,0.6514,0.23482,1.94996,2.45629,0.96567,0.00057508,0.00057508,0.00057508
16,279.839,1.98284,1.10016,1.05657,0.02556,0.95833,0.89299,0.34855,1.80459,2.45562,0.94166,0.000591025,0.000591025,0.000591025
17,294.135,1.97102,1.06109,1.05601,0.66995,0.83333,0.72647,0.24854,2.09998,2.4001,1.0016,0.000604,0.000604,0.000604
18,308.818,1.95545,0.98823,1.04822,0.22963,0.85417,0.38064,0.1315,2.00271,2.397,0.98588,0.000614005,0.000614005,0.000614005
19,322.858,1.9501,1.11044,0.96475,0.05173,0.97917,0.58884,0.21104,1.7887,2.37044,0.94776,0.00062104,0.00062104,0.00062104
20,337.024,1.90634,1.047,1.00418,0.9574,0.93652,0.97967,0.32158,1.83319,2.31148,0.95796,0.000625105,0.000625105,0.000625105
21,350.94,1.79216,0.95428,0.97585,0.89483,0.88645,0.83208,0.2824,2.11975,2.22118,1.0146,0.0006262,0.0006262,0.0006262
22,365.781,1.8471,0.95209,0.99462,0.11581,0.8125,0.72248,0.22874,2.37923,2.17786,1.07102,0.000624325,0.000624325,0.000624325
23,380.223,1.93296,0.9952,1.07349,0.06206,0.85417,0.77739,0.25509,2.37708,2.17073,1.065,0.00061948,0.00061948,0.00061948
24,394.714,1.82962,0.99907,1.01276,0.80949,0.89583,0.83794,0.32616,2.12283,2.07289,1.01217,0.000611665,0.000611665,0.000611665
25,409.506,1.83829,0.99877,0.93182,0.9751,0.81586,0.94973,0.37566,1.89605,1.95067,0.98026,0.00060088,0.00060088,0.00060088
26,423.697,1.82871,1.0019,0.96529,0.92257,0.64583,0.88193,0.34313,1.97941,1.82162,1.00038,0.000587125,0.000587125,0.000587125
27,438.055,1.87919,0.96452,0.99138,0.90201,0.7672,0.844,0.34693,2.04254,1.73543,1.01354,0.0005704,0.0005704,0.0005704
28,452.101,1.82616,0.92708,0.94975,0.95418,0.86777,0.91514,0.38568,1.92645,1.6815,0.98728,0.000550705,0.000550705,0.000550705
