epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.978,2.11333,3.9686,1.07139,0.00513,0.48193,0.01404,0.00519,2.11371,3.71561,1.07153,0.095005,5e-06,5e-06
2,107.724,1.97843,3.1286,1.02704,0.00494,0.46386,0.1218,0.0327,2.60974,3.8075,1.2397,0.0890106,1.05644e-05,1.05644e-05
3,150.521,1.87967,2.69202,1.0558,0.00429,0.40361,0.14194,0.03869,3.05772,3.87285,1.35159,0.0830157,1.56536e-05,1.56536e-05
4,193.068,1.96467,2.43407,1.0591,0.00423,0.39759,0.20995,0.05339,3.0108,3.86464,1.35017,0.0770203,2.02676e-05,2.02676e-05
5,235.54,1.89488,2.28784,1.04274,0.02714,0.34337,0.19048,0.05088,2.91628,3.90548,1.35196,0.0710244,2.44064e-05,2.44064e-05
6,279.778,1.94249,2.16054,1.01834,0.34,0.20482,0.25664,0.09875,2.48742,3.86339,1.25123,0.0650281,2.807e-05,2.807e-05
7,321.564,1.8996,2.07757,1.02672,0.28571,0.33735,0.29663,0.13274,2.09381,3.76627,1.1084,0.0590313,3.12584e-05,3.12584e-05
8,364.12,1.85738,1.87646,1.02328,0.27138,0.47033,0.35999,0.17506,1.97337,3.62983,1.04567,0.053034,3.39716e-05,3.39716e-05
9,406.241,1.94302,1.81042,1.02984,0.23471,0.6245,0.3838,0.17756,1.96545,3.47957,1.03895,0.0470362,3.62096e-05,3.62096e-05
10,448.408,1.88997,1.82126,1.01327,0.19743,0.79072,0.39727,0.18356,1.91711,3.31313,1.02634,0.041038,3.79724e-05,3.79724e-05
11,489.92,1.87998,1.81798,1.01908,0.16409,0.88286,0.40394,0.19753,1.85512,3.10722,1.01211,0.0350393,3.926e-05,3.926e-05
12,532.496,1.79987,1.72886,0.98966,0.13906,0.97546,0.40786,0.20395,1.81228,2.89793,0.99963,0.0290401,4.00724e-05,4.00724e-05
13,573.908,1.80486,1.66688,1.0021,0.12004,1,0.41185,0.20995,1.78999,2.6743,0.99002,0.0230404,4.04096e-05,4.04096e-05
14,615.433,1.82478,1.6894,1.01038,0.10509,1,0.41407,0.21031,1.79858,2.47761,0.98707,0.0170403,4.02716e-05,4.02716e-05
15,656.994,1.86956,1.65991,0.97702,0.22974,0.7162,0.41424,0.20767,1.80743,2.36871,0.98785,0.0110397,3.96584e-05,3.96584e-05
16,697.963,1.77702,1.69403,1.0286,0.26563,0.41566,0.41092,0.20365,1.79675,2.11404,0.98609,0.00503857,3.857e-05,3.857e-05
17,738.912,1.77199,1.67992,1.02234,0.37053,0.46735,0.4116,0.20349,1.7878,2.00411,0.9845,3.664e-05,3.664e-05,3.664e-05
18,779.395,1.74268,1.69422,1.02911,0.27846,0.54681,0.39994,0.19653,1.78093,1.84063,0.98217,3.268e-05,3.268e-05,3.268e-05
19,819.977,1.71735,1.62294,1.02579,0.27722,0.58054,0.39453,0.19214,1.78185,1.78872,0.98248,2.872e-05,2.872e-05,2.872e-05
20,860.569,1.6544,1.60441,1.01161,0.25369,0.61758,0.38562,0.18457,1.79239,1.71516,0.98464,2.476e-05,2.476e-05,2.476e-05
21,900.948,1.71742,1.63923,1.01535,0.26604,0.6561,0.38649,0.18701,1.79869,1.6881,0.9865,2.08e-05,2.08e-05,2.08e-05
22,941.57,1.7217,1.61562,1.00662,0.27623,0.69166,0.38768,0.1858,1.80228,1.6424,0.98858,1.684e-05,1.684e-05,1.684e-05
23,982.328,1.7595,1.61061,1.02601,0.27777,0.80879,0.39178,0.18852,1.79664,1.62469,0.98808,1.288e-05,1.288e-05,1.288e-05
24,1022.87,1.69479,1.61071,1.01828,0.27408,0.84583,0.38955,0.19179,1.77572,1.59963,0.98299,8.92e-06,8.92e-06,8.92e-06
25,1063.79,1.72966,1.6273,1.01857,0.27548,0.84583,0.39435,0.19426,1.77226,1.58915,0.98273,4.96e-06,4.96e-06,4.96e-06
