epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.8404,2.30475,3.52738,1.64853,0.31455,0.64511,0.30954,0.12321,1.77835,2.36045,1.29829,0.07214,0.00014,0.00014
2,134.351,1.63252,1.71604,1.2955,0.4758,0.74257,0.5154,0.22275,1.96258,1.86424,1.62154,0.0432822,0.000282179,0.000282179
3,189.846,1.55374,1.67987,1.30607,0.65507,0.72285,0.6956,0.26515,1.8154,1.48973,1.6307,0.0144215,0.000421486,0.000421486
4,259.275,1.51225,1.63161,1.29492,0.51019,0.7185,0.59581,0.26535,1.7213,1.57285,1.61409,0.00048515,0.00048515,0.00048515
5,300.028,1.48432,1.52943,1.2766,0.64668,0.81277,0.73878,0.32311,1.75383,1.38218,1.46414,0.0004802,0.0004802,0.0004802
6,340.307,1.53558,1.46988,1.26462,0.68508,0.75161,0.75277,0.33383,1.71494,1.43647,1.53919,0.00047525,0.00047525,0.00047525
7,382.427,1.43944,1.42845,1.23897,0.61506,0.76043,0.67989,0.26257,1.75158,1.50799,1.58368,0.0004703,0.0004703,0.0004703
8,431.744,1.43183,1.43552,1.24034,0.73441,0.71091,0.80068,0.39986,1.54075,1.36457,1.42917,0.00046535,0.00046535,0.00046535
9,462.699,1.40165,1.32632,1.22942,0.70542,0.76776,0.758,0.3716,1.62709,1.31529,1.48245,0.0004604,0.0004604,0.0004604
10,499.347,1.41974,1.29086,1.21789,0.57633,0.792,0.77363,0.36194,1.53865,1.35976,1.43732,0.00045545,0.00045545,0.00045545
11,532.159,1.34697,1.26506,1.21721,0.59897,0.80106,0.74058,0.2916,1.66304,1.43893,1.52993,0.0004505,0.0004505,0.0004505
12,571.214,1.3467,1.18002,1.19628,0.74401,0.75285,0.79663,0.30756,1.70699,1.42308,1.56504,0.00044555,0.00044555,0.00044555
13,604.78,1.4591,1.29414,1.24198,0.68313,0.83365,0.80974,0.38656,1.6051,1.25902,1.4642,0.0004406,0.0004406,0.0004406
14,641.249,1.37776,1.26274,1.24719,0.70347,0.87856,0.79363,0.34477,1.6767,1.30989,1.5388,0.00043565,0.00043565,0.00043565
15,678.514,1.38647,1.21475,1.21428,0.74177,0.86721,0.83274,0.42719,1.57117,1.1924,1.4678,0.0004307,0.0004307,0.0004307
16,715.422,1.41155,1.2335,1.22208,0.74207,0.84919,0.82153,0.41692,1.52004,1.22617,1.42515,0.00042575,0.00042575,0.00042575
17,757.371,1.35792,1.12625,1.2081,0.7554,0.85606,0.81971,0.42129,1.5827,1.13274,1.49801,0.0004208,0.0004208,0.0004208
18,796.218,1.35839,1.13854,1.23372,0.69823,0.80976,0.74496,0.26991,1.76469,1.3535,1.63238,0.00041585,0.00041585,0.00041585
19,825.982,1.381,1.08465,1.20952,0.69825,0.83728,0.81416,0.34419,1.69775,1.21881,1.60017,0.0004109,0.0004109,0.0004109
20,862.434,1.36612,1.11701,1.20043,0.79783,0.81677,0.83289,0.37721,1.59064,1.15458,1.4885,0.00040595,0.00040595,0.00040595
21,900.074,1.36361,1.14862,1.23101,0.79133,0.81428,0.8615,0.42805,1.51357,1.10857,1.43017,0.000401,0.000401,0.000401
22,944.326,1.33411,1.13636,1.20966,0.75569,0.80289,0.79228,0.35852,1.6001,1.2482,1.48825,0.00039605,0.00039605,0.00039605
23,981.343,1.33755,1.11019,1.1901,0.78895,0.86274,0.86104,0.40034,1.61081,1.17248,1.47828,0.0003911,0.0003911,0.0003911
24,1016.89,1.32145,1.06541,1.17704,0.81155,0.85724,0.86668,0.38915,1.65113,1.14535,1.4723,0.00038615,0.00038615,0.00038615
25,1046.67,1.35482,1.05855,1.19684,0.81706,0.87866,0.87008,0.40815,1.61245,1.10143,1.43852,0.0003812,0.0003812,0.0003812
26,1084.12,1.3657,1.07556,1.18744,0.70434,0.83906,0.83123,0.43994,1.52838,1.1223,1.38059,0.00037625,0.00037625,0.00037625
27,1117.79,1.30989,1.03226,1.16597,0.82553,0.84903,0.87636,0.43629,1.5016,1.06205,1.35701,0.0003713,0.0003713,0.0003713
28,1148.07,1.36885,1.06074,1.19511,0.74827,0.87562,0.85125,0.43051,1.52815,1.11151,1.42218,0.00036635,0.00036635,0.00036635
29,1183.6,1.33644,1.01433,1.18396,0.78486,0.8818,0.87189,0.40993,1.53246,1.14323,1.40788,0.0003614,0.0003614,0.0003614
